No.	NAME	DBI	HNar	PJI2	ICR	MeanTD	MaxDD	GMTIV	S2K	PW2	PW5	MAXDN	MAXDP	TIE	Psi_i_1d	Psi_i_1s	Psi_e_0d	LOC
2418	2-22	3.08220700148449	1.88235294117647	1	2.35472135758239	3.97463768115942	17	14603	5.33009343914254	0.597916666666667	0.133459389020343	1.85030092592593	5.93771919879063	59.6881607787086	-2.73147735433936E-7	1.09422518019608E-8	2.84562684146921E-6	0.961252480472185
2419	4-51	5.24404424085076	1.83406113537118	1	2.67812730432151	5.27058823529412	24	33667	7.42661311786617	0.628809523809524	0.113890833466184	2.45754346182918	6.92004536925983	110.214192521405	4.61704282257774E-11	9.47408114143631E-12	-1.99416124539985E-9	1.23658963497853
2420	2-42	3.46410161513775	1.85294117647059	0.75	1.93870849728683	3.5	17	8683	3.7675842362178	0.622732426303855	0.141144773585036	2.67407407407407	5.50574546485261	49.9060410183458	1.80835007041293E-6	2.58197803002966E-7	-0.0000197773692073443	0.911265785000691
2421	2-48	4.58257569495584	1.81990521327014	0.833333333333333	2.41268789001652	4.92741935483871	23	32965	6.95926654139293	0.621428571428571	0.117930536407359	3.17535488578147	6.69372732426304	109.371204052355	6.92459548983372E-10	4.64460852278375E-11	1.46173243548441E-8	0.8125
2422	4-59	4.74341649025257	1.72277227722772	1	2.42617927589722	4.32758620689655	19	17119	6.57504532217911	0.619796487037866	0.134225454790737	2.51838482615268	6.4062603930461	95.9627642857657	9.40446688222835E-9	1.69439710823521E-9	-1.0600882770989E-7	1.19750073850489
2423	2-57	3.74165738677394	1.76	1	2.53377125606456	4.08225108225108	16	7707	5.25314105449508	0.617604617604617	0.100734386606808	2.50509631939195	4.83090770339102	52.0714039084905	1.72283468383631E-6	5.29048984272419E-7	0.0000103370341372541	1.02841407106403
2424	3-19	3.60555127546399	1.85915492957746	0.75	1.87703416804033	3.64069264069264	18	8750	4.30466051065125	0.614123376623376	0.142189801549771	2.04293745275888	5.64403486394558	47.481693888473	-9.45028024232199E-7	1.30103013519229E-7	0.0000103866881475974	1.09390056703007
2425	3-10	3.60555127546399	1.85915492957746	0.75	1.86763389097121	3.71428571428571	18	6315	4.45711300931335	0.616396103896104	0.141683667012452	1.84092876039305	5.0259339569161	38.9290127863279	-8.91015099427218E-7	3.2198760615267E-7	0.0000103448455219709	1.09390056703007
2426	3-19	3.60555127546399	1.85915492957746	0.75	1.87703416804033	3.64069264069264	18	8750	4.30466051065125	0.614123376623376	0.142189801549771	2.04293745275888	5.64403486394558	47.481693888473	-9.45028024232199E-7	1.30103013519229E-7	0.0000103866881475974	1.09390056703007
2427	2-69	4.47213595499958	1.82022471910112	0.8	2.21151585538358	3.98575498575499	18	20122	5.29271776394052	0.626877237988349	0.145774680652567	2.44611217403628	6.08861002141597	83.2510837875789	-1.84019283403684E-8	2.62307091312679E-9	-3.94217254076249E-7	1.13526955812574
2428	3-19	3.60555127546399	1.85915492957746	0.75	1.87703416804033	3.64069264069264	18	8750	4.30466051065125	0.614123376623376	0.142189801549771	2.04293745275888	5.64403486394558	47.481693888473	-9.45028024232199E-7	1.30103013519229E-7	0.0000103866881475974	1.09390056703007
2429	3-46	3.3166247903554	1.90909090909091	1	2.16712428215016	3.57619047619048	17	5556	4.54974378450737	0.605536659108088	0.137330505380391	1.61657501889645	5.72092734315949	44.2041930775282	1.63861687967961E-6	1.0722892962535E-6	-0.0000196058436381225	0.987915331402444
2430	4-29	2.64575131106459	1.92	0.8	2.25	3.73333333333333	13	2731	5.99031268478811	0.563690476190476	0.0881134175371976	0.723703703703704	1.91301744771983	22.8988091905319	-0.000154380221775988	0.0000403684421357363	0.000480202310476108	0.625
2431	2-32	3.08220700148449	1.88235294117647	1	2.39207956392571	4.02536231884058	17	12630	5.49837760669046	0.599652777777778	0.132216090914363	1.6461824452003	5.61238764487276	49.377479185043	-2.64542799642885E-7	1.94938508250313E-8	2.84411457606851E-6	0.961252480472185
2432	2-32	3.08220700148449	1.88235294117647	1	2.39207956392571	4.02536231884058	17	12630	5.49837760669046	0.599652777777778	0.132216090914363	1.6461824452003	5.61238764487276	49.377479185043	-2.64542799642885E-7	1.94938508250313E-8	2.84411457606851E-6	0.961252480472185
2433	2-80	4.47213595499958	1.75135135135135	0.8	2.188212504158	4.11965811965812	18	17396	5.71092912169431	0.618650793650794	0.133942698236285	2.55672713529856	6.00482993197279	85.7686635740052	3.67741747417001E-8	2.66520534004341E-9	-3.97148130600618E-7	1.25235324178241
2434	2-46	3.60555127546399	1.85915492957747	1	2.15810477849681	3.64935064935065	17	10938	4.20218162469957	0.61286075036075	0.139846030075024	2.74862055933484	5.57699546485261	58.6126746667008	-9.5924522491729E-7	1.02493717246163E-7	0.0000103658650105099	1.00299147612098
2435	4-44	5.04975246918104	1.80582524271845	1	2.81745982788599	6.01075268817204	19	27711	13.460918961086	0.5536866359447	0.0873658194802444	2.05930212378313	6.37905773229096	115.582049536238	1.01114309382059E-8	3.71254762474953E-10	-2.87082225621667E-8	1.59010950474675
2436	4-57	4.58257569495584	1.70616113744076	1	2.51990257979396	4.81149425287356	20	17578	8.69253585158439	0.601821789321789	0.111035345159663	1.95546394574308	6.30472422400498	116.862709917354	9.19386872914319E-9	2.66334560638192E-9	5.4888023303638E-8	1.76292717041213
2437	3-30	4.24264068711928	1.85714285714286	1	2.06792156529977	3.98153846153846	19	17052	4.60671264509448	0.6251332001332	0.143884897442554	2.30702239229025	5.82804905990174	73.0816166304069	3.58663224412173E-8	4.33915920529033E-9	7.66865223651605E-7	1.21133162219554
2438	4-57	4.58257569495584	1.70616113744076	1	2.51990257979396	4.81149425287356	20	17578	8.69253585158439	0.601821789321789	0.111035345159663	1.95546394574308	6.30472422400498	116.862709917354	9.19386872914319E-9	2.66334560638192E-9	5.4888023303638E-8	1.76292717041213
2439	3-52	3.60555127546399	1.85915492957746	0.75	1.87703416804033	3.64069264069264	18	8754	4.29255393928061	0.614123376623376	0.142189801549771	1.83611111111111	5.65529903628118	47.8771178473276	-9.39565042050927E-7	1.42590969774272E-7	0.0000103696137755815	1.09390056703007
2440	3-53	3.60555127546399	1.85915492957747	0.75	1.86763389097121	3.71428571428571	18	8550	4.29255393928061	0.616396103896104	0.141683667012452	1.66587632275132	5.66956585411943	44.566367098774	-9.28375640016283E-7	1.72036591463647E-7	0.0000103787770976093	1.09390056703007
2441	3-25	4.06201920231798	1.86528497409326	0.857142857142857	2.75893853235028	5.44597701149425	20	22231	8.43169688901291	0.59234126984127	0.112921385024432	1.46012587133619	5.85163855820106	58.0258898840368	-4.94645955166139E-9	5.9356047865774E-10	5.55856178905211E-8	1.28726748802706
2442	2-74	4.35889894354067	1.89473684210526	0.833333333333333	2.37106352891325	5.20265151515152	25	36376	6.86634048001503	0.624098124098124	0.123392568852171	2.44351114365499	6.9212641723356	93.5676726693572	1.78101617403067E-10	2.34043337540552E-11	-7.5611943129725E-9	0.627383893953467
2443	4-63	2.73861278752583	2.05128205128205	1	2.1332062193465	3.84210526315789	12	7203	5.31759820724393	0.56625	0.112628250132153	1.87125	2.86194444444444	25.5764870709079	6.98585094211774E-6	4.33926238369673E-7	0.0000382214869669016	0.432192809488736
2444	4-63	2.73861278752583	2.05128205128205	1	2.1332062193465	3.84210526315789	12	7203	5.31759820724393	0.56625	0.112628250132153	1.87125	2.86194444444444	25.5764870709079	6.98585094211774E-6	4.33926238369673E-7	0.0000382214869669016	0.432192809488736
2445	3-5	3.60555127546399	1.82068965517241	1	2.64242396177198	4.64935064935065	17	14653	6.18919619270828	0.605194805194805	0.0915412893421824	4.74115102985639	5.34956412194507	48.6984540418496	1.94880788906663E-6	7.94780106862248E-8	0.0000103061572901103	0.891199129819285
2446	2-80	4.47213595499958	1.75135135135135	0.8	2.188212504158	4.11965811965812	18	17396	5.71092912169431	0.618650793650794	0.133942698236285	2.55672713529856	6.00482993197279	85.7686635740052	3.67741747417001E-8	2.66520534004341E-9	-3.97148130600618E-7	1.25235324178241
2447	2-10	3	1.98726114649681	0.8	2.26098118101722	4.06153846153846	21	16487	5.69769781810987	0.603754578754579	0.131989268414064	1.84310704837491	5.47753031305115	45.8010912345807	3.71093143380803E-8	2.22632981014395E-9	7.71058222138641E-7	0.777024550340252
2448	4-63	2.73861278752583	2.05128205128205	1	2.1332062193465	3.84210526315789	12	7203	5.31759820724393	0.56625	0.112628250132153	1.87125	2.86194444444444	25.5764870709079	6.98585094211774E-6	4.33926238369673E-7	0.0000382214869669016	0.432192809488736
2449	2-45	3	1.84615384615385	1	2.43003653257727	3.88333333333333	14	9202	4.6849619805416	0.563095238095238	0.0972367789313935	2.95088645334677	3.23067604318281	31.8373921881286	-0.000194605159395449	2.89176439121994E-6	0.000498209645179744	1.70281953111478
2450	3-37	3.16227766016838	1.86046511627907	0.833333333333333	2.50370169605735	4.28421052631579	16	11553	5.09469253936194	0.606130952380952	0.0891681025394228	4.77489890400605	5.17370512093726	44.4827206214651	7.34441769731108E-6	2.04569050591696E-7	0.000037490787826884	0.680482023721841
2451	2-69	4.47213595499958	1.82022471910112	0.8	2.21151585538358	3.98575498575499	18	20122	5.29271776394052	0.626877237988349	0.145774680652567	2.44611217403628	6.08861002141597	83.2510837875789	-1.84019283403684E-8	2.62307091312679E-9	-3.94217254076249E-7	1.13526955812574
2452	3-36	3.74165738677394	1.82781456953642	0.857142857142857	2.70728206428235	4.92094861660079	18	17069	6.30404455246373	0.599016563146998	0.0941318591447705	4.80366644883262	5.34423624233644	55.3512107457452	-1.04433026005737E-6	2.4589302450602E-8	-5.40299684015792E-6	1.06864587713127
2453	2-51	4.58257569495584	1.81990521327014	0.833333333333333	2.41268789001652	4.92741935483871	23	32965	7.15296279637652	0.621428571428571	0.117930536407359	3.15477875409423	6.74002362055933	108.842870028812	6.81538655112451E-10	6.7594812273384E-11	1.45925170924971E-8	0.8125
